Что,Где,Когда,Кто,Тип,Столбец 6,Оценка,Откуда,Тэги,Жанр,Фича,РАЗНЕСЛИ:,6884,,,,,,
5) Моральный кодекс — Ночной каприз,https://www.youtube.com/watch?v=p_PuU5UzYSM,1:07:25,GameCloser,заказ,,атлична- ,,,инди / поп,,,,,,,,,
6) toe — Run For Word,https://youtu.be/Kb1sEQsdyQw?si=NO9UJFGf-f12AYc8,1:19:20,Alan008,долг Х2,,хорошечно++,,,инди / поп-рок / инструментал,,,,,,,,,
7) Муслим Магомаев — Лучший город Земли (оригинал),https://youtu.be/GPrWON4vCzQ,1:33:40,Cherfrish,донат,,атлична+,,,поп ,,,,,,,,,
8) PinocchioP feat. Hatsune Miku — Reincarnation Apple {Tensei Ringo / 転生林檎},https://www.youtube.com/watch?v=LYWP8HtgeLQ,2:05:50,AnonymousAdomin,долг Х3💀,,атлична,,,электронное / поп,,,,,,,,,
9) Wienners — FACTION [1 Opening Digimon Ghost Game / Призрачная игра Дигимонов],https://www.youtube.com/watch?v=7W8Vvvjpci8,2:16:40,DzenDish,донат,,атлична+,Аниме,,рок / электронное,,,,,,,,,
10) TK from Ling tosite sigure — White Out,https://musify.club/track/tk-from-ling-tosite-sigure-white-out-8078199,2:29:40,contrast,долг Х4☠️,,атлична,,,инди / рок,,,,,,,,,
11) Mashiro Ayano — ideal white [1 Opening Fate/stay night: Unlimited Blade Works / Судьба/Ночь схватки: Бесконечный мир клинков],https://youtu.be/-P_B2AC5WJM,2:45:30,Cherfrish,донат,,хорошечно-,Аниме,,поп-рок / рок,,,,,,,,,
12) AiNA THE END — The Spell {アイコトバ} [1 Ending Kusuriya no Hitorigoto / Монолог фармацевта],https://youtu.be/EZZx5VkZtw8,2:59:50,Maksimjk,долг Х5⚰️,,хорошечно++,Аниме,,баллада / поп,,,,,,,,,
13) OPRUS — My Sails Are Set (Sonya Belousova & Giona Ostinelli feat. AURORA - My Sails Are Set; RUS Cover) [OST; One Piece / Ван-Пис / Большой куш 2023 г.],https://www.youtube.com/watch?v=C9S6bglExvs,3:11:20,DzenDish,донат,,хорошечно-,Фильм,,оркестровое / поп / баллада,,,,,,,,,
14) Serafina — Ticking Away (VALORANT & Grabbitz feat. bbno$ - Ticking Away; Cover) [Valorant OST],https://www.youtube.com/watch?v=9XCIbqZCZFA,3:32:25,RamWhite,долг,,атлична - -,Игра,,поп / электронное ,,,,,,,,,
15) Owl City — Fireflies (Official Music Video),https://youtu.be/psuRGfAaju4,3:59:05,Cherfrish,донат,,гениально-,,,инди / поп / поп-рок,,,,,,,,,
16) Giga & TeddyLoid feat. Daoko — Act {アクト},https://youtu.be/S_jBXqUzm8U?si=QmzWJ8dRWXNn23M6,4:12:45,CHEBURAWKA,долг Х2,,атлична+,,,поп / электронное,,,,,,,,,
17) Пурген — Предательство элит {Betrayal of elites},https://open.spotify.com/track/1GaIpZsQEs1FuCrRNRuDRy?si=bc388196fae745b0,4:23:10,MeinJurer,донат,,атлична - -,,,метал,,,,,,,,,
18) GUNSHIP feat. Power Glove — Ghost,https://youtu.be/uDUmdXmXiO8?si=PqP9oXnVO95diucZ,4:36:50,anna_251999,долг Х3💀,,хорошечно+,,,инди / электронное / баллада,,,,,,,,,
19) Domitori Taranofu — Dreams of Japan (Extended Mix),https://vk.com/audio-2001232345_110232345,4:50:40,Domitori Taranofu,донат,,нормас+,,,поп / инструментал / фолк,,,,,,,,,
"20) XX:me — Beautiful World (сейю Haruka Tomatsu, Kana Ichinose, Nanami Yamashita, Shizuka Ishigami and Saori Hayami; FULL VER) [3 Ending Darling in the FranXX / Милый во Франксе]",https://www.youtube.com/watch?v=WKGpD23O8_A,5:06:00,DzenDish,долг Х4☠️,,хорошечно,Аниме,,поп-рок,,,,,,,,,
21) Vitalism — Favela,https://open.spotify.com/track/5iONvnkahD0ubeZL9fWWE4?si=e5947f5bad314335,5:19:05,MeinJurer,донат,,хорошечно++,,,метал / фолк,,,,,,,,,
22) HOYO-MiX — Vita Boss Theme (Deformed Butterfly; Awareness; Crimson Earth; Stubborn; Unrecognizable) [Honkai Impact 3rd OST],https://youtu.be/4hZaqCeWLNY,5:50:35,ДокухэбиТатсу,долг Х5⚰️,,хорошечно-,Игра,,электронное / инструментал / оркестровое,,,,,,,,,
23) Santana feat. Rob Thomas — Smooth (Stereo),https://www.youtube.com/watch?v=6Whgn_iE5uc,6:09:10,Rtur,донат,,атлична+,,,фолк / джаз,,,,,,,,,
24) MY FIRST STORY — Tokyo Midnight {東京ミッドナイト},https://www.youtube.com/watch?v=Vc0haWHIWUE,6:21:05,RamWhite,долг,,атлична,,,поп-рок / рок,,,,,,,,,
25) C!naH — Heart(VIVINOS - ALNST Sub : SUA Part.1),https://youtu.be/mZz34ni7Xro?si=sg-zpfBimK1NaKVq,6:31:50,Ляля Леша,донат,,хорошечно++,,,оркестровое / инструментал,,,,,,,,,
26) The Gamer Symphony Orchestra — Bad Piggies (Ilmari Hakkola - Bad Piggies Theme; Original; Fall 2022 Live Concert) [Bad Piggies OST],https://youtu.be/xjrOLLeMQx4?si=wxw-CiynFl8QPoKL,6:44:30,Alan008,долг Х2,,хорошечно - -,Игра,,оркестровое / ,,,,,,,,,
27) Трупный Яд — Мент,https://vk.com/audio-87379039_456239858_560ac57689176827c6,6:54:10,MeinJurer,донат,,нормас+,,,метал,,,,,,,,,
28) Muse — Dead Inside (Official Music Video),https://www.youtube.com/watch?v=I5sJhSNUkwQ,7:07:45,meganekka,долг Х3💀,,атлична-,,,инди / поп-рок ,,,,,,,,,
29) сын курьера — Жигули,https://music.yandex.ru/album/26862600/track/116168393?utm_source=web&utm_medium=copy_link,7:18:45,actusfide,донат,,хорошечно,,,инди ,,,,,,,,,
30) Rie Takahashi — Stay Alive (Сейю Эмилии) [2 Ending Re:Zero - Starting Life in Another World / Re:Zero. Жизнь с нуля в альтернативном мире],https://youtu.be/84YBqfpCGW8?list=LL,7:41:05,AndrLord,долг Х4☠️,,хорошечно+,Аниме,,поп-рок,,,,,,,,,
31) Трупный Яд — Деньги,https://vk.com/audio615531407_456239156_ea0db51006953c5191,7:54:10,MeinJurer,донат,,нормас++,,,метал,,,,,,,,,
32) Hiroyuki Sawano feat. David Whitaker & Mika Kobayashi — Before my body is dry [OST; Kill la Kill / Убей или умри],https://youtu.be/1_PWdjym25g,8:10:00,Maksimjk,долг Х5⚰️,,хорошечно,Аниме,,рок / поп-рок,,,,,,,,,
33) Универсальные панды — Пляжная,https://music.yandex.ru/album/36767161/track/139476292?utm_source=web&utm_medium=copy_link,8:22:15,actusfide,донат,,хорошечно-,,,инди,,,,,,,,,
СТРИМ №123 (6.06.25),https://vkvideo.ru/video-182074546_456239206,, ,,,,,,,,,,,,,,,
БЛАГОТВОРИТЕЛЬНЫЙ, ,, ,,,,,,,,,,,,,,,
1) Cö shu Nie feat. HYDE — MAISIE [1 Opening Black Butler: Emerald Witch Arc / Тёмный дворецкий: Зелёная ведьма],https://www.youtube.com/watch?v=n7kzWJYzPrA&ab_channel=C%C3%B6shuNie-Topic,19:10,@LadyHarkonnen,очередь,,хорошечно,Аниме,,рок / инди,,,,,,,,,
2) Imperial Circus Dead Decadence — Tensei {天聲},https://youtu.be/YVi6kxlNG0M?si=ybMFv070HGMCuIMJ,34:15,@razorch1k,очередь,,хорошечно - -,,,метал,,,,,,,,,
3) Муслим Магомаев — Чертово колесо [Москва в нотах OST],https://youtu.be/ijq6r9JbnGU?si=Pgl6ac91BBkhCBPf,48:50,Cherfrish,очередь,,гениально,Фильм,,поп / оркестровое,,,,,,,,,
4) Mamiko Noto — Karinui (сейю персонажа Ai Enma) {Ephemeral / かりぬい} [1 Ending Hell Girl / Адская девочка],https://www.youtube.com/watch?v=NKkXugPOtr0&ab_channel=%E5%8D%97%E5%8D%83%E7%A7%8B,1:03:50,@Zagadochniy_Pretendent,очередь,,атлична-,Аниме,,баллада / фолк,,,,,,,,,
5) TK from Ling tosite sigure — katharsis {Катарсис} [2 Opening Tokyo Ghoul:re 2nd Season / Токийский гуль: Перерождение 2],https://music.youtube.com/watch?v=6yt6npVWHQI,1:14:30,@gustaff_mackewicz,очередь,,атлична+,Аниме,,рок / инди,,,,,,,,,
"6) Haz Studio feat. 灵椒, EDY, Liby & Mr. Respect — Aria of the Soul (Haruko Komiya - Aria of the Soul; Cover) [Persona 5 Tactica OST]",https://music.yandex.ru/album/32558820/track/129330742?utm_medium=copy_link,1:24:35,@enegysun,очередь,,нормас+,Игра,,фанк / поп,,,,,,,,,
7) Yoshida Yasei feat. Kasane Teto — Override {Oobaaraido / オーバーライド},https://www.youtube.com/watch?v=LLjfal8jCYI,1:37:35,Акума,очередь,,хорошечно - -,,,поп / электронное,,,,,,,,,
8) Akiko Shikata — Byakumu no Mayu ~Ricordando il passato~ {Кокон белых снов ~ Вспоминая прошлое~ / Cocoon of White Dreams ~Remembering the Past~ / 白夢の繭 ～Ricordando il passato～} (Twilight of the Golden Witch arc) [VN; Ending Umineko no Naku Koro ni Chiru],https://youtu.be/h0KrZv5d0o4,1:45:20,Alexeyorik,очередь,,хорошечно+,Игра,,оркестровое / баллада,,,,,,,,,
9) Mallory Knox — Lonely Hours,https://www.youtube.com/watch?v=BR2rQ-tHSfM,2:15:40,@stalergood,очередь,,хорошечно,,,рок,,,,,,,,,
10) rerulili feat. Hatsune Miku & GUMI — Brain Fluid Explosion Girl {Spinal Fluid Explosion Girl / Noushou Sakuretsu Girl / 脳漿炸裂ガー},https://youtu.be/Ey_NHZNYTeE?si=gt65iTwegtyzW5KW,2:24:50,Astamaxxvm,очередь,,хорошечно,,,электронное / инди / поп,,,,,,,,,
11) Bloodsimple — What If I Lost It,https://youtu.be/4l6zNZruc3I?si=uFRmxKmCMxWH179C,2:40:25,@MaxLucSyn,очередь,,хорошечно+,,,метал ,,,,,,,,,
12) LiSA — QUEEN [1/3 Opening Shangri-La Frontier Season 2 / Рубеж Шангри-Ла: Любитель игрошлака бросает вызов топ-игре 2],https://youtu.be/AQjgrYWc_zU,2:49:20,AndrLord,очередь,,атлична - -,Аниме,,метал / электронное,,,,,,,,,
13) Victor Krasnokutsky & Andrey Kuzmin — Crazy Necross {Безумство Некросса} [OST; Vangers: One For The Road / Вангеры],https://www.youtube.com/watch?v=XQz0ZeVFnOA&ab_channel=FlyingScoots,2:59:40,@quaresss,очередь,,нормас,Игра,,электронное / инструментал,,,,,,,,,
14) Aviations — Safehouse (Official Music Video),https://www.youtube.com/watch?v=KSnAG6Wa9Pg&list=RDMM&start_radio=1&rv=9-SQGOYOjxs&ab_channel=AVIATIONS,3:12:15,@semfii,очередь,,атлична+,,,рок / инди / метал,,,,,,,,,
15) женская группа Московского Камерного Хора — Частушки Бабок-Ёжек (с субтитрами) [Летучий корабль OST],https://youtu.be/60yIZWZKx0I?si=O8bYX4HgU3Zt-JmR,3:28:30,@ak478G,очередь,,атлична (гениально сердечком),Фильм,,разное / фолк,,,,,,,,,
16) Reol — Edge {切っ先} (Music Video) [1 Ending Rurouni Kenshin: Meiji Kenkaku Romantan 2023 г. / Бродяга Кэнсин 2023 г.],https://www.youtube.com/watch?v=FpwYVKN4w2U,3:36:35,Sheruka,очередь,,атлична-,Аниме,,поп / электронное,,,,,,,,,
17) Clark Powell — Power Fantasy (Theme for Caliborn) [OST; webcomic Homestuck Vol. 7 - 8],https://youtu.be/5adGTghTECM?si=R_6dNkmmTMFJk9VO,3:47:10,Napporaivo,очередь,,атлична - -,,,электронное / инструментал,,,,,,,,,
18) Daniel Sadowski — Undead Battle 1 [Disciples III: Renaissance OST],https://static.wikia.nocookie.net/disciples/images/2/28/Undead_Battle_1.ogg/revision/latest?cb=20200321002122&path-prefix=ru,4:08:05,AnToteKote,очередь,,хорошечно,Игра,,оркестровое / инструментал,,,,,,,,,
19) Shortparis — Говорит Москва {This Is Moscow Speaking},https://youtu.be/_d1AmMt6A9s?si=xxXJXg7v-Ukj6WQP,4:16:40,Kirilicus,очередь,,гениально - -,,,инди / электронное / разное,,,,,,,,,
20) Nobuo Uematsu — The Oath [OST; Final Fantasy VIII],https://youtu.be/iKWY4gxCB0U?si=GLuFruPwOYBr_JEr,4:31:25,Илья,очередь,,гениально - -,Игра,,оркестровое / инструментал,,,,,,,,,
21) Helblinde — The Solace of Oblivion [Osu! OST],https://www.youtube.com/watch?v=1gFNk_L5R1w&ab_channel=Helblinde,4:46:15,Hantrik,очередь,,хорошечно,Игра,,электронное / инструментал,,,,,,,,,
22) Loqiemean — SALUTE MUERDOS!,https://www.youtube.com/watch?v=07hLNAlcoj0,5:05:05,BONN,очередь,,атлична++,,,рэп / метал / электронное,,,,,,,,,
СТРИМ №122 (3.06.25),https://vkvideo.ru/video-182074546_456239205,, ,,,,,,,,,,,,,,,
ДОЛГОВОЙ, ,, ,,,,,,,,,,,,,,,
1) Gregory Semenov — Fly Theme 12 [OST; Space Rangers / Космические рейнджеры],https://www.youtube.com/watch?v=6tIL6OmC4hc,5:55,General PunisheR,долг,,нормас+,Игра,,инструментал / электронное,,,,,,,,,
2) Stuck in the Sound — Let's Go (Official Video),https://www.youtube.com/watch?v=52Gg9CqhbP8,16:25,Boevaya_riba,долг Х2,,атлична,,,инди / рок,,,,,,,,,
3) Порез на Собаке — Проспал {Overslept},https://youtu.be/5CpbSjhDkrI?si=cFxTCrbLjyNUSpH5,25:40,AlexLih,долг Х3💀,,атлична,,,инди / разное / рэп,,,,,,,,,
4) XX:me — Hitori {Alone / ひとり} (сейю Haruka Tomatsu; FULL VER) [ep 13; 4 Ending Darling in the FranXX / Милый во Франксе],https://www.youtube.com/watch?v=4lgqhMd3x8I,36:45,DzenDish,долг Х4☠️,,нормас+,Аниме,,поп / баллада / поп-рок,,,,,,,,,
5) Onsa Media — The Curse of the Sad Mummy (League of Legends feat. Christian Linke - The Curse of the Sad Mummy; RUS Cover) [League of Legends OST],https://www.youtube.com/watch?v=B8CzU_EN_Lc,53:20,Selestinskiy,долг Х5⚰️,,нормас+,Игра,,баллада / оркестровое,,,,,,,,,
"6) Motoi Sakuraba — One strike, One beat [Tales of Arise OST]",https://youtu.be/4PnAgINsaSo?si=XHMiac8DLneyfmE9,1:04:55,Влад Горшков,долг,,атлична,Игра,,инструментал / оркестровое,,,,,,,,,
7) M.A.K.E.vortex feat. Ado & Hatsune Miku — 20KYO,https://youtu.be/9cBPLMrCG6o?si=goJXVYPR3np550pO,1:20:45,AnonymousAdomin,долг Х2,,нормас++,,,инди / рок / электронное,,,,,,,,,
8) Ruelle — War of Hearts(Acoustic Version),https://www.youtube.com/watch?v=q5paJrsIkqg,1:38:55,Boevaya_riba,долг Х3💀,,нормас++,,,фортепиано / баллада,,,,,,,,,
"9) Shiro Sagisu — Komm, süsser Tod (ПОВТОР: СТРИМ №4; 22 трек от dzahaines) [OST; Евангелион нового поколения: Конец Евангелиона / Neon Genesis Evangelion: The End of Evangelion]",https://www.youtube.com/watch?v=uyjIkoPgyo0,2:03:35,Sheruka,повтор,,гениально - -,Аниме,,джаз / оркестровое / поп,,,,,,,,,
10) Toby Fox — THE WORLD REVOLVING [Deltarune Chapter 1 OST],https://www.youtube.com/watch?v=Z01Tsgwe2dQ,2:19:00,Eagler,долг Х5⚰️,,хорошечно-,Игра,,электронное / инструментал,,,,,,,,,
11) Stromae feat. GIMS & OrelSan — avf (Audio),https://www.youtube.com/watch?v=q9hW4MLNp5E,2:26:25,Rtur,долг,,атлична,,,рэп / электронное / поп,,,,,,,,,
12) Motoi Sakuraba — Paradise of coexistence -Fabrication- [Tales of Arise OST],https://youtu.be/aEY5iShzRRo?si=iT4Vt102NngpbJRP,2:37:55,Влад Горшков,долг Х2,,хорошечно,Игра,,рок / инструментал,,,,,,,,,
13) HOYO-MiX — Arlecchino: Lullaby (Character Demo) [Genshin Impact OST],https://youtu.be/TnYFVP3c_bs?si=wIH0LASuv7aXZKy_,2:47:30,EpicFire; ДокухэбиТатсу,заказ,,атлична+,Игра,,электронное / инструментал,,,,,,,,,
"14) XX:me — Escape (сейю Haruka Tomatsu, Kana Ichinose, Nanami Yamashita, Shizuka Ishigami and Saori Hayami; FULL VER) [ep 16; 5 Ending Darling in the FranXX / Милый во Франксе]",https://www.youtube.com/watch?v=l_2F7qySY2w,2:58:20,DzenDish,долг Х4☠️,,атлична - -,Аниме,,поп-рок,,,,,,,,,
15) yourness — My Last Day {Мой последний день / Watashi no Saigo no Hi / 私の最後の日},https://youtu.be/iP3PcDNhJXI?si=8FVrl4q1ZzVNlAw-,3:14:15,AnonymousAdomin,долг Х5⚰️,,гениально - -,,,баллада / поп-рок / поп,,,,,,,,,
16) Domitori Taranofu — A Soft Sofa,https://drive.google.com/file/d/1eXsC9Sxxec3bZ6Jy_sk8Zi8xh5bytGs8/view?usp=drive_link,3:24:05,Domitori Taranofu,долг,,нормас++,,,электронное / джаз / инструментал,,,,,,,,,
17) HOYO-MiX & NIDA — Proi Proi [Honkai: Star Rail OST],https://youtu.be/loWA5o1RdTY,3:42:10,ДокухэбиТатсу; EpicFire,долг Х2,,атлична - -,Игра,,электронное / поп / рок,,,,,,,,,
18) fripSide — Red Liberation (Official MV/Full) [1 Opening The Vexations of a Shut-In Vampire Princess / Заботы запертой принцессы вампиров],https://www.youtube.com/watch?v=d62GvsOTaio,3:54:20,Ivan_Vitalyevich; AnonymousAdomin,заказ,,хорошечно - -,Аниме,,метал / поп / электронное,,,,,,,,,
19) Imagine Dragons — Curse,https://www.youtube.com/watch?v=wikCVdrhsJc,4:09:35,Boevaya_riba,долг Х4☠️,,атлична - -,,,инди / поп-рок,,,,,,,,,
20) Sati Akura — Nightglow (Tanya Chua - Nightglow; RUS Cover) [Honkai Impact 3rd OST],https://youtu.be/5_Hu-SocP-s,4:20:45,ДокухэбиТатсу,долг Х5⚰️,,атлична,Игра,,поп / рок,,,,,,,,,
21) Queen — Somebody To Love (HD Live - 1981 Montreal),https://www.youtube.com/watch?v=aA2IRoPFIn0,4:28:20,TRISSAR,долг,,гениально,,,поп-рок / рок,,,,,,,,,
21.5) Становление композитором от Faryma.composer,Стрим,4:43:45,Faryma.composer,,,,,,,,,,,,,,,
СТРИМ №121 (31.05.25),https://vkvideo.ru/video-182074546_456239204,, ,,,,,,,,,,,,,,,
 ,Пришло треков: 67,, ,,,,,,,,,,,,,,,
1) Boogie Pimps — Somebody to Love (Official Video),https://www.youtube.com/watch?v=t6HSlZBNwUQ,9:50,sniffd,заказ,,хорошечно,,,поп,,,,,,,,,
2) Folder 5 — Believe [2 Opening One Piece / Ван-Пис / Большой куш],https://www.youtube.com/watch?v=qM_FepDsJ-Q,18:30,Rusbiomode,донат,,нормас+,Аниме,,поп / электронное / поп-рок,,,,,,,,,
3) Grover Washington Jr. feat. Bill Withers — Just the Two of Us,https://youtu.be/6POZlJAZsok?si=dX9SnTlhd1Gobzv2,32:30,Monstrrro,долг,,атлична+,,,джаз ,,,,,,,,,
4) Kamil Orman Janowski — Grand Arena [Path of Exile OST],https://www.youtube.com/watch?v=uOl1I9wIKmA,51:25,General PunisheR,донат,,ну такое++,Игра,,оркестровое / инструментал,,,,,,,,,
5) Danny Baranowsky — Portabellohead (2-3 with Shopkeeper) [Crypt of the Necrodancer OST],https://www.youtube.com/watch?v=_Ex7g5uKzKg&list=PLchGsFtT6nrSwPAve39lPdeKr1OWWAk5j&index=33&ab_channel=dannyBstyle,1:03:15,SinWarlock,долг Х2,,нормас+,Игра,,инди / инструментал / электронное,,,,,,,,,
6) V6 — Super Powers (YouTube Ver.) [21 Opening One Piece / Ван-Пис / Большой куш],https://www.youtube.com/watch?v=V7nS-76cy64&list=RDMM&index=12,1:11:30,Rusbiomode,донат,,хорошечно-,Аниме,,поп / поп-рок / электронное,,,,,,,,,
"7) XX:me — Manatsu no Setsuna {Midsummer Moment / 真夏のセツナ} (сейю Haruka Tomatsu, Kana Ichinose, Nanami Yamashita, Shizuka Ishigami and Saori Hayami; FULL VER) [ep 7; 2 Ending Darling in the FranXX / Милый во Франксе]",https://vk.com/audio-9273458_456241984_6d6d642798f9ac82a9,1:23:55,DzenDish,долг Х3💀,,хорошечно,Аниме,,поп-рок,,,,,,,,,
"8) Tyler, the Creator — NEW MAGIC WAND",https://www.youtube.com/watch?v=2w8KUgIkAu8,1:37:15,Gogor,донат,,атлична - -,,,рэп / электронное,,,,,,,,,
9) League of Legends feat. Christian Linke — The Curse of the Sad Mummy [League of Legends OST],https://www.youtube.com/watch?v=0AvWV6Mk374,2:08:40,"Selestinskiy",долг Х4☠️,,атлична -,Игра,,баллада / оркестровое,,,,,,,,,
10) Eir Aoi — IGNITE [1/3 Opening Sword Art Online 2 / Мастера Меча Онлайн II],https://www.youtube.com/watch?v=_9rgFyn6FMM,2:24:10,Rusbiomode,донат,,хорошечно+,Аниме,,рок / поп-рок,,,,,,,,,
11) Motoi Sakuraba — Sovereign's madness [Tales of Arise OST],https://youtu.be/vZMsKBb-E5Y?si=vsEZGeWfhrCvHx_O,2:41:05,Влад Горшков,долг,,хорошечно+,Игра,,оркестровое / инструментал,,,,,,,,,
"12) Sithu Aye — It's the Second Season, So We Need a New Character After All!",https://open.spotify.com/track/4S3WGADGdUqEeDKWvjnKnK?si=e0067c74f9674960,2:57:40,MeinJurer,донат,,атлична,,,метал / инструментал,,,,,,,,,
13) Ado — GeGeGe no Kitaro {Kitaro of Ge-ge-ge / ゲゲゲの鬼太郎} (Kazuo Kumakura - GeGeGe no Kitaro; Original) [1 Opening Gegege no Kitarou / Щелкунчик Китаро],https://youtu.be/6Qd16SxUjj4?si=2KDUDtrAS_TrJBzw,3:12:30,AnonymousAdomin,долг Х2,,атлична - -,Аниме,,инди / поп,,,,,,,,,
"14) Эльмира Калимуллина & Пелагея — Canção do Mar {Song of the Sea / Песня моря} (Amália Rodrigues - Cancao do mar, Original; проект Голос, Live, 1 сезон, 13 выпуск, Финал) [OST; Влюблённые из Тахо / Les amants du Tage / The Lovers of Lisbon]",https://youtu.be/v6otNkCDngE?si=QD5-IPAbTN1pXAas,3:23:40,Zagitarius_Ed,донат,,хорошечно+,Фильм,,фолк / поп,,,,,,,,,
15) HOYO-MiX — Deadly Romance [Honkai: Star Rail OST],https://youtu.be/WIq2CTm_9Nc?si=QKy_g9z8hOL4znSt,3:40:30,laitsberg,долг Х3💀,,атлична-,Игра,,мюзикл/опера / оркестровое / электронное,,,,,,,,,
16) Mothervibes & Shift Up — The Song of the Wanderer [STELLAR BLADE MINI OST],https://www.youtube.com/watch?v=UZGUqbyKwO8,4:09:00,iostream,донат,,атлична,Игра,,баллада / инди / джаз,,,,,,,,,
17) Ayase & Ado — Tachiirikinshi {No Trespassing / 立ち入り禁止} (Mafumafu - Tachiiri Kinshi; Cover),https://youtu.be/LBOqy1AoJlw?si=NNei7U6kqLVQPo0E,4:18:15,AnonymousAdomin,долг Х4☠️,,хорошечно++,,,поп / фортепиано,,,,,,,,,
18) Archspire — Involuntary Doppelgänger {Вынужденный двойник},https://open.spotify.com/track/4K1yqd68vWmDXFwXAqW35d?si=74a30b58dde748c7,4:30:35,MeinJurer,донат,,атлична,,,метал,,,,,,,,,
19) Dire Straits — Your Latest Trick,https://youtu.be/7cklKC7C_aw?si=_aMNFBKAEjt4sn9G,4:45:15,Monstrrro,долг,,хорошечно+,,,инструментал / джаз / поп,,,,,,,,,
"20) Tyler, The Creator & Nigo — Come On, Let's Go",https://www.youtube.com/watch?v=-iUxowQaGCk,5:02:15,Gogor,донат,,хорошечно+,,,рэп,,,,,,,,,
21) Native Construct — Mute (OFFICIAL VIDEO),https://www.youtube.com/watch?v=v99dHD9oWfU&ab_channel=MetalBladeRecords,5:10:35,Hantrik,долг Х2,,атлична - -,,,метал / разное,,,,,,,,,
22) лампабикт & Элли на маковом поле — немерено,https://youtu.be/sPw-_Of_LgQ,5:29:45,ayl1es,донат,,атлична-,,,инди / баллада,,,,,,,,,
23) Sol Seppy — Move,https://music.yandex.ru/album/7197845/track/51543092?utm_medium=copy_link,5:40:20,50_50,очередь,,гениально - -,,,инди / электронное,,,,,,,,,
24) Deathsomnia — Akinesia (Official Video),https://youtu.be/vbeyejD2MG4,5:49:55,Darhalas,заказ,,атлична,,,инди,,,,,,,,,
25) Ado — Dawn and Fireflies {夜明けと蛍} (N-Buna feat. Hatsune Miku - Dawn and Fireflies; Cover),https://youtu.be/1T6b26DTQy4?si=wfgg0F-O9M1nnIT8,6:08:05,AnonymousAdomin,долг Х3💀,,нормас++,,,инди / поп-рок,,,,,,,,,
26) The Omnific — Objets de Vertu,https://open.spotify.com/track/3ykYzbCnEmzzZfDrxSQQtK?si=c7545efa393f4b49,6:23:40,MeinJurer,донат,,хорошечно+,,,метал / инструментал,,,,,,,,,
27) Mylène Farmer — Fuck them all {F**k Them All} (Clip Officiel),https://youtu.be/9TyqtWUTj6M,6:34:25,Exsetaid,долг Х4☠️,,нормас+,,,инди / баллада,,,,,,,,,
28) tg muzfromhrum — INSTASAMKA-за деньги да {FOR MONEY YES} (INSTASAMKA - ЗА ДЕНЬГИ ДА; AI Cover),https://t.me/c/2021455695/110771,6:46:25,50 50,донат,,нормас++,,,джаз,,,,,,,,,
29) George Michael — Careless Whisper (Official Video),https://www.youtube.com/watch?v=izGwDsrQ1eQ,6:53:20,GameCloser,долг,,атлична (гениально за саксофон),,,баллада / поп,,,,,,,,,
"30) AKUGETSU feat. Till — ALL-IN(AST 2st anniversary REMIX) (6FU; feat. Hyuna - ALL-IN; Original; VIVINOS ‘Alien Stage’ OST, Pt.6)",https://youtu.be/z5MF5ffl1cI?si=h9FHL64NdjpBNsQ6,7:06:40,Ляля Леша,донат,,атлична - -,,,рок,,,,,,,,,
31) Ado — Jama {Annoyance / 邪魔} (syudou feat. Hatsune Miku - Jama; Cover),https://youtu.be/6uR_UxqGoug?si=Xsr1sB5oIAR6HCuT,7:17:20,AnonymousAdomin,долг Х2,,атлична - -,,,электронное / поп,,,,,,,,,
32) Егор & NeSergey — Блинчики {Pancakes},https://music.yandex.ru/album/23461850/track/107156580?utm_medium=copy_link,7:27:35,50 50,донат,,кринж-контент,,,рэп,,,,,,,,,
"33) XX:me — Beautiful World (сейю Haruka Tomatsu, Kana Ichinose, Nanami Yamashita, Shizuka Ishigami and Saori Hayami; FULL VER) [3 Ending Darling in the FranXX / Милый во Франксе]",https://vk.com/audio-9273458_456241983_ce2cca8e44b2ce7d71,7:34:05,DzenDish,долг Х3💀,,хорошечно,Аниме,,поп-рок,,,,,,,,,
"34) Hajime Wakai, Manaka Kataoka, Maasa Miyoshi, Masato Ohashi, Tsukasa Usui — Demon King Ganondorf Battle (All Phases Seamless Theme) [The Legend of Zelda: Tears of the Kingdom OST]",https://youtu.be/IoybO37EztY?si=LRe8EbgSQqF2e9cK,7:45:55,Влад Горшков,донат,,атлична-,Игра,,оркестровое / инструментал ,,,,,,,,,
"35) Yugo Kanno — il vento d'oro (ПОВТОР: СТРИМ №5; 6 трек от kvin) [OST, Джорно Джованны; Невероятное приключение ДжоДжо: Золотой ветер]",https://www.youtube.com/watch?v=U0TXIXTzJEY,8:16:20,Cybrex,повтор,,гениально,Аниме,,джаз / рок,,,,,,,,,
36) Seether — Careless Whisper (George Michael — Careless Whisper; Cover),https://www.youtube.com/watch?v=B5lzYG83yVQ,8:28:20,Rtur,донат,,хорошечно-,,,метал,,,,,,,,,
37) Motoi Sakuraba — Flame of the New Dawn [Tales of Arise OST],https://youtu.be/xEVAC9rkDI8?si=leU10rJ_grM5IJyP,8:39:40,Влад Горшков,долг,,хорошечно,Игра,,инструментал / фолк ,,,,,,,,,
